Katsesõna	ÜS_definitsioon
mõõteteenistus	mõõtmiste õigsust ja ühtsust tagav riiklike ja ametkondlike metroloogiaasutuste süsteem
mõõtevahend	mõõtmisel kasutatav normitud omadustega tehniline vahend (nt mõõtur, andur, arvesti, etalon)
mõõteviga	mõõtetulemuse erinevus mõõdetava suuruse tõelisest väärtusest
mõõtja	mõõteriist või mõõteseade
mõõtmatu	ülimalt suur, erakordselt suur
mõõtur	mõõteriist või mõõteseade
mõõtühik	mõõdetava suuruse kindel väärtus, mis loetakse võrdseks ühega
mäda	põletiku tagajärjel tekkiv kollakas vedelik, mis sisaldab mikroobe, valgeid vereliblesid ja lõhustatud koeosi
mädandama	(hrl taimede, puidu, surnud looma kohta:) mädanema pannes lagundama, mädaks tegema
mädane	mäda sisaldav või eritav, sellega iseloomustuv
mädanema	põletiku tõttu mäda moodustama (ja eritama)
mädanemine	(taimede, puidu, surnud looma) lagunemine bakterite või seente toimel
mäeahelik	omavahel liitunud mägede sirgjooneline või kaarjas rida (üksikuna või mäestiku osana)
mäejutlus	(Piiblis:) mäel peetud Jeesuse õpetuskõne, mis seab armastuse ja andeksandmise kõrgemaks Vanas Testamendis rõhutatud samaga tasumise põhimõttest
mäekristall	läbipaistev värvusetu poolvääriskivi, kvartsi teisend
mäekuru	mäeaheliku madalam (sadulakujuline) koht mäetippude vahel, kust saab suhteliselt hõlpsasti liikuda üle aheliku
mäekõrgune	ülimalt kõrge
Mäeküla	küla Hiiu maakonnas Hiiumaa vallas (Käina kihelkonnas)
mäeliustik	mägisel alal asuv liustik
mäemass	aherainet sisaldav väljavõetud maavara, kaevandatud maavara enne rikastamist
mäendus	teaduse ja tehnika valdkond, mis hõlmab maavarade otsimist, kaevandamist ja rikastamist ning mäetööde keskkonnamõjude vähendamist
mäepääste	"kaevandusõnnetuste päästetööd	 neid korraldav teenistus"
mäepäästja	õnnetusse sattunute päästja kõrgmägedes
mäestik	kõrge tugevasti liigestunud pinnamoega ala, kus on palju mäeahelikke ning nendevahelisi orgusid ja nõgusid
mäesuusataja	"mäesuusatamisega tegelev suusasportlane	 mäesuusatamise harrastaja"
mäesuusatamine	suuskadel laskumine mööda mäenõlva (harrastusena või suusaspordialana)
mäesuusk	laia ninaosaga või keskelt kitsam suusk mäesuusatamiseks
mäesööst	kivirusu äkiline laviinina langemine järsult mäenõlvalt
Mäetaguse	alevik Ida-Viru maakonnas Alutaguse vallas (Jõhvi kihelkonnas)
mäeteke	kõrgendike jt kurrutuste tekkimine maakoore laamade põrkel
mäetöö	maavarade tootmisega seotud töö (nt lõhkamine, kaevandamine)
mäevaim	rahvausundis mägede kaitsevaim, mägedes elav üleloomulik olend
mäger	pikki urge kaevav jässakas lühikeste jäsemete ning pika tiheda karvkattega loom Euraasia metsa- ja stepivööndis
mägi	"kõrgendik, mille suhteline kõrgus on üle 200 m, Eestis üle 50 m	 ümbritsevast alast kõrgem pinnamoodustis (ka nt kelgu-, suusamägi)"
mägiaas	"metsatu ala mäestike kõrgematel nõlvadel, kus kasvab peamiselt madal rohttaimestik	 sarnane kunstlik taimkate"
mägimatk	(sportlik) rännak mägedes
mägimatkaja	mägimatkamisega tegelev inimene
mägimatkamine	jalgsi matkamine mägedes kurude kaudu mäeahelikke ületades
mägine	selline, kus on mägesid, mägedega
mägiraudtee	mäestikus kulgev, mäkke viiv raudtee (hrl hammas- või köisraudtee)
mägironija	mägironimisega tegelev inimene
mägironimine	tõus mäetippudele ja liustikele hrl sportlikul eesmärgil
mägisaabas	spetsiaalne jalanõu mägedes matkamiseks (ka mägironijail)
mägismaa	suur mägine ala, kus vahelduvad ühisel kõrgemal alusel paiknevad mäeahelikud ja -massiivid ning kiltmaad
Mägiste	küla Valga maakonnas Otepää vallas (Sangaste kihelkonnas)
mägitee	mägedes kulgev tee
mägitikker	punaste väikeste marjadega karusmarjapõõsas
mägitundra	mägede tundravöönd metsapiirist kõrgemal ning lumepiirist madalamal
mägitõbi	hapnikuvaegusest tingitud haiguslik seisund, mis tekib kõrgmägedes (nt liiga kiirel mäkketõusul, vähese aklimatiseerumise korral)
Mähe	Tallinna asum Pirita linnaosas (Jõelähtme kihelkonnas)
mähkima	midagi tihedasti (hrl mitme kihina) ümber millegi või kellegi keerama
mähkpiste	välimuselt madalpistet meenutav kaunistuspiste, mis riide paremale poolele jääb otse, pahemale poolele aga natuke kaldu
mähkuma	end millegi sisse mähkima
mäkerdama	"(ära) määrima	 (lohakalt värvimise vm määriva tegevuse kohta)"
mäkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö
Mäksa	küla Tartu maakonnas Kastre vallas (Võnnu kihelkonnas)
Mälaren	järv Kesk-Rootsis
mälestama	austades hrl surnut või surnuid meelde tuletama
mälestuskatke	mingi osa mälestustest
mälestuskild	meenutus või lühike lugu möödunud aegadest
mälestussammas	kellegi (või millegi) mälestuseks püstitatud (kivist) sammas või skulptuur
mälestusvõistlus	võistlused, mida korraldatakse mõne kuulsa sportlase mälestuseks
mäletama	kellelgi meeles olema, mälus säilima
mäletamine	kellelgi meeles olemine, mälus säilimine
mäletamisi	mäletamist mööda
mäletatavasti	nii, nagu mäletatakse
mäletseja	mäletsejaliste alamseltsi kuuluv loom, nt veis, lammas, kits
mäletsema	(veiste ja mõnede teiste sõraliste kohta:) söömisel vaid osaliselt peenestatud ja vatsast suhu tagasi liikuvat toitu teistkordselt, põhjalikult mäludes peenestama
mäluasutus	asutus, mis tegeleb info kogumise, säilitamise, töötlemise ja vahendamisega, nt raamatukogu, muuseum, arhiiv
mäluauk	(teatud ajavahemikul) juhtunu mitte mäletamine, tühik mälestuste ahelas
mälukaart	seadmest eemaldatav kaardikujuline mäluseadis, mis võimaldab andmeid (nt videokaamerast, mobiilist) arvutisse üle kanda
mäluma	suus olevat pala närima
mälumäng	sportlik või meelelahutuslik küsimustele vastamise võistlus, mis eeldab mitmekülgseid teadmisi ja head mälu
mälupulk	pulgakujulise korpusega väike andmekandja, mis võimaldab USB-liidese kaudu kanda andmeid ühest arvutist teise
mälutest	test, mille abil hinnatakse inimese mälu omadusi
mälv	parkimiseks ettevalmistatud toornahk
mänd	peamiselt põhjaparasvöötme igihaljas okaspuu, Eestis hrl kahekaupa kimbus paiknevate pikkade okaste, paksukorbalise tüve ja keraja lühikese võraga puu
mänedžer	"majanduslike huvide esindaja	 teatud töölõigu juhtija, korraldaja"
mäng	teatud reeglitega meelelahutuslik või sportlik tegevus
mängija	"see, kes mängib (nt mingil pillil, mingit meelelahutuslikku vm mängu)	 sportmängu meeskonda kuuluja"
mängima	meelelahutusliku või sportmänguga tegelema
mängitama	mängima panema, mängida laskma (nt last, looma)
mängitsema	kergelt või ilulevalt mängima
mänglema	kergelt, nagu mängides tegutsema või midagi tegema
mänglemisi	mängeldes, mänglevalt, kergesti, mängleva kergusega
mänglus	mänglemine
mängu eel	enne (võistlus)mängu toimumist
mänguaeg	"mängija platsiloleku aeg sportmängus	 mängu kestus"
mänguasi	ese lapse mänguhuvi rahuldamiseks, talle tegevuse võimaldamiseks
mänguautomaat	hrl mündi või žetooni sisselaskmisel käivituv meelelahutus- või hasartmängu automaat
mängueelselt	enne (võistlus)mängu toimumist
mängufilm	hrl väljamõeldud süžeega film, mis rajaneb näitlejate mängul
mänguiga	vanusejärk, kus põhitegevus on mängimine (inimestel hrl koolieelne iga)
mängukann	"keegi või miski manipuleeritav, oma huvides ära kasutatav	 millegi võimuses, meelevallas olev asi"
mängukeeld	võistluskeeld sportmängudes
mänguklass	mängutase sportmängus
mängukoor	(puhkpilli)orkester
mängukord	(etenduse esitamise, mängu mängimise vm kordadega, nende arvuga seoses)
mänguline	mängule omaste elementidega (nt kerge, vaheldusrikas, lustlik)
mängult	mängides, kujutluses, mitte päriselt
mängumees	meeskondlikus sportmängus osaleja, mängust osavõtja (nt korvpallis)
mängupõrgu	koht, kus mängitakse hasartmänge, hrl kasiino
mängur	mängija, eriti hasart- või arvutimängude sõltlane
mänguriist	(muusikariista, pilli kohta)
mängurlus	võimetus vastu seista tungile mängida hasartmänge, hoolimata negatiivsetest tagajärgedest või soovist lõpetada
mänguselts	see, kellega laps (sageli) koos mängib (nt teine laps või loom)
mängustama	mänguliseks tegema
mängusõltuvus	võimetus vastu seista tungile mängida hasartmänge, hoolimata negatiivsetest tagajärgedest või soovist lõpetada
mängutehnika	muusikainstrumendi käsitsemise võtted ja meetodid, ka nende valdamine
mänguteooria	matemaatika haru, mis uurib soodsaimate tegutsemisplaanide leidmist konflikti korral
mänguteraapia	psühhoteraapias rakendatav ravimisviis, mis mängu kaudu vabastab inimese sisepingetest
mängutoos	üht pala esitav kellamehhanismiga mänguriist
mängutuba	spetsiaalne ruum (nt kaubanduskeskuses, laeval vm), mis on sisustatud lastele mängimiseks
mänguväli	"laua- ja arvutimängudes pind, millel toimub mäng	 teatud osa sellest pinnast"
mänguõnn	suur kordaminek mingis mängus (nt sport- või hasartmängus)
Männamaa	küla Hiiu maakonnas Hiiumaa vallas (Käina kihelkonnas)
männas	taimel ühest võsusõlmest lähtuvate varreharude, pungade või lehtede kogum
männik	valgusküllane mets, kus valdavaks puuks on mänd
männikasv	männi noor oksa või ladva jätk
männikorp	männikoore pealmine kõva, puitunud osa
Männiku	küla Harju maakonnas Saku vallas (Keila kihelkonnas)
Männimäe	Viljandi linnajagu (Viljandi kihelkonnas)
mänsak	hakisuurune mustjaspruuni valgetäpilise sulestikuga lind
Mänspe	küla Hiiu maakonnas Hiiumaa vallas (Emmaste kihelkonnas)
Mäo	küla Järva maakonnas Paide linna halduspiirkonnas (Paide kihelkonnas)
mära	
märatsema	väga ärritunult käituma või meeltesegaduses enesekontrolli kaotanult vägivaldselt käituma
märe	eriti märg puudeta koht soos
märg	rohkesti vett vm vedelikku sisaldav, sellest läbi imbunud või sellega pealt kaetud
märgala	aasta ringi märg või osa aastast veega kaetud ala (nt soo, rannaroostik, luht)
märgas	märkav, tähelepanev
märge	ametlik, nõuetekohane märkus dokumendil, pakendil vms
märgendama	märgendiga varustama
märgiline	"millelegi vihjav või viitav, teatavat tähendust omav	 erilise, olulise tähendusega"
märgis	"iseloomulik, hästinähtav tunnus	 eristamist, äratundmist võimaldav tähis või märk"
märgistama	"sel viisil millelegi osutama või viitama	 eristamist, äratundmist võimaldava tunnuse, märgi või tähisega varustama"
märgisti	külvikule või traktorile paigaldatud seade, mis tagab külvamisel täpse reavahe ja aitab vältida ülekülvi
märgistik	kirjamärkide kogum (teatud otstarbeks)
märgistus	"tootele märgitud andmed või teavet andev märgis (nt mahemärgis)	 mingile pinnale kantud tähistus (nt liiklust korraldavad pidev- ja katkendjooned, mustad ja valged vöödid)"
märgits	riist millegi märgistamiseks
märgitsema	märkima, tähistama
märgsoolama	soolalahusega, soolveega soolama
märgsoolamine	kala, liha, nahkade vm soolamine soolalahusega, soolveega
märguanne	käeliigutus, helisignaal vms, millega edastatakse teateid, käsklusi vm infot
märgukiri	kirjalik meeldetuletus, ülevaade asjade käigust, märkus vms dokument
märguma	märjaks saama, vedelikku külge või sisse võtma
märgumatu	selline, mis ei võta vett sisse, ei märgu
märgus	märg või niiske olek
märgusõna	salajane sõna või väljend, mille abil saab tuvastada isikut (nt konkurssidel hindajate erapooletuse tagamiseks, teatavasse kohta pääsuks)
märgutuli	millestki märku andev tuli
märguv	selline, mis laseb vett läbi, läheb (kergesti) märjaks
Märja	alevik Tartu maakonnas Tartu linna halduspiirkonnas (Nõo kihelkonnas)
märjalt	märjas olekus, veest vm vedelikust läbi imbununa või sellega kaetuna
märjuke	(kange) alkohoolne jook
märjukene	(kange) alkohoolne jook
märkama	millestki või kellestki teadlikuks saama
märkamatu	selline, mida (või keda) ei pane tähele, mittemärgatav
märke	tooriku vm märkimisel kasutatav
märkel	toorikute märkimisel kasutatav tööriist (nt märknõel)
märkeorienteerumine	orienteerumine, kus võistleja peab läbima tähistatud raja ja märgistama õiged kontrollpunktid
märkesuusatamine	suusaorienteerumine, kus võistleja peab läbima tähistatud raja ja märgistama õiged kontrollpunktid
märkimisväärne	millegi poolest eriline või esilduv
märkimisväärt	millegi poolest eriline või esilduv
märkiviskamine	noolte, pallide vms viskamine sihtmärgi tabamiseks
märklaud	tahvel, kuhu märkilaskmisel kinnitatakse kontsentriliste ringide või mingite kujutistega märkleht
märksa	küllaltki suurel, tähelepandaval määral
märksõna	sõna või väljend, mida sõnaraamatus vm teatmeteoses kirjeldatakse
märkus	lühike suuline või kirjalik selgitus või arvamusavaldus
märter	usu pärast kannatanud ja hukatud inimene
märterlik	"märtrile omane	 süütule kannatajale iseloomulik"
märts	aasta 3. kuu, põhjapoolkeral esimene kevadkuu
märul	"suur lärm	 äge (lärmakas) tegevus või liikumine (nt tänavarahutustega seonduv, põgenemine ja tagaajamine)"
märuldama	ägedat lärmi, märulit tegema
märulifilm	katkematu tegevuse ja kaskadööritrikkidega tempokas film, milles on võitlust, tagaajamist, päästeaktsioone vms
mäslema	(ilma vm loodusnähtuse kohta:) tormine, rajune olema, metsiku jõuga liikuma
mässama	millelegi rahutuste ja korratuste näol vastu hakkama, millegi vastu mässu tõstma
mässima	(korrapäratult) mähkima, midagi (mitmekordselt) millegi või kellegi ümber keerama
mässitult	mässituna, keeratuna
mässuline	mässust, ülestõusust vm vastupanuliikumisest osavõtja
mässuma	mähkuma
mäsu	"mäss, vastuhakk	 suure hulga inimeste lärmakas korratu liikumine, kisklemine või märatsemine"
mäsutama	mäsu tegema
Mäzdäg	linn Venemaal Põhja-Osseetias
mätas	sambla või rohuga kaetud väike maapinna kühm
mätastama	mätastega, mättaga katma
mätastik	mätaste kogum
mätlik	mätastega, mättaid täis
mätsak	
mätserdama	"oskamatult, määrivalt midagi tegema	 mingit pehmet ainet mingiks asjaks, moodustiseks vormima"
mätsima	pehmet (ja sitket) ainet hrl kätega mingiks asjaks, moodustiseks vormima või (kohmakalt) millegi külge, peale panema
mättaline	mätastega, mättaid täis
mäu	annab edasi kassi häälitsust
mää	annab edasi lamba häälitsust
määgima	(lamba häälitsemise kohta)
määndama	(hrl taimede, puidu, surnud looma kohta:) mädanema pannes lagundama, mädaks tegema
määnduma	(hrl taimede, puidu, surnud looma kohta:) bakterite või seente toimel lagunema
määraja	käsiraamat, mobiilirakendus vm taimede, loomade, seente vms liigi määramiseks
määrama	"(ametlikult) otsustama, sellekohast korraldust või käsku andma	 seaduses vm õigusaktis fikseeritud olema"
määramatu	selline, mis pole määratud või mida on võimatu määrata, defineerida, identifitseerida
määrang	üks konkreetne (kindlaks)määramine
määratelema	mõiste sisu või sõna tähendust seletama, sõnadega kirjeldama
määratlema	mõiste sisu või sõna tähendust seletama, sõnadega kirjeldama
määratlus	mõiste esitus lühikese kirjeldava lausungina, hrl sisaldades lähimat üldmõistet ja olulisi eritunnuseid
määratu	see, kes või mis on millekski määratud, ette nähtud
määratult	väga (palju)
määratus	määratud-olek
määrav	millegi kulgu, tulemust otseselt mõjutav, mõjult eriti oluline
määrdene	määrdega koos
määrdeõli	peamiselt naftast saadav puhastatud õli määrdena
määrdunud	(mingi ainega kokkupuutumise tõttu) ebapuhas
määre	tehniline aine, mis liikuvate masinaosade vahele panduna vähendab nende hõõrdumist, kulumist ja kuumenemist
määrimine	"hõõrdepinna katmine määrdega	 muu pinna katmine pehme määritava ainega"
määritlema	mõiste sisu või sõna tähendust seletama, sõnadega kirjeldama
määrkass	väike sihvakas, ümara pea ja lüheldase koonuga Aafrika ahv
määrosa	tervikust (hrl millegi kogusest) mingiks sihipäraseks otstarbeks (teatavaks ajaks) määratud osa, millegi jaoks kehtestatud piirmäär
määrsõna	muutumatu sõna, mis väljendab aega, kohta, viisi, määra vm (nt nüüd, ruttu) või annab eri tähendusvarjundi mõnele sõnale (või fraasile, lausele)
määrustik	"mahukas, ulatuslik määrus	 määruste kogu	 määruste v eeskirjade kogum"
möbleerima	mööbliga sisustama
mögin	(kokku segatud) püdel mass
mögisema	"rahulolematust väljendades õiendama	 segast juttu ajama (ka rääkimise kohta üldse)"
möirakaru	mürgeldaja, räuskaja, mürtsumees
möiratama	korraks, lühidalt möirgama
möiratus	ühekordne möirgamine, vali ja madal jõuline häälitsus või heli
möire	ühekordne möirgamine, vali ja madal jõuline häälitsus või heli
möirgama	väga valjusti, tumedalt ning jõuliselt häälitsema, möirgeid kuuldavale tooma
mökitama	(kitse, oina kohta:) katkendlikult määgima
möksima	"sellega määrima	 midagi püdelaks massiks kokku segama"
möku	ettevõtlikkuseta, otsustusvõimetu, saamatu
mökutama	"aeglaselt, venitades midagi tegema või rääkima	 millegi tegemisega venitama, aega viitma"
mökutis	ettevõtlikkuseta, otsustusvõimetu, saamatu inimene
mölama	(halvustavalt rääkimise või riidlemise kohta)
mölder	viljateradest jahu jahvataja, jahvatustööde korraldaja veskis, ka veskipidaja või -omanik
mölin	(halvustavalt rohkesõnalise, kuid sisutu jutu kohta)
mölisema	(halvustavalt rääkimise või riidlemise kohta)
möll	"äge lärmakas tegevus või liikumine (nt pidutsemise, tänavarahutustega seonduv)	 hullamine, mürgeldamine"
möll	kivimite murenemisel tekkiv pude sete, mis on liivast peenem ja savist jämedam
möllama	"lärmakalt pidutsema	 tormakalt (segadust tekitades või purustades) liikuma või tegutsema"
möllima	"(endast) teada andma	 registreerima, kirja panema"
mörin	"madalahäälne ebaselge rääkimine	 madal põrisev häälitsus"
mörisema	"madalat põrisevat heli kuuldavale laskma	 madala põriseva häälega rääkima"
