märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
kotus;"ÜS: koht; eluase, kodukoht 
ÕS: koht, eluase";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""kotus"". See võib olla spetsiifiline või haruldane sõna, mille tähendus ja kasutus ei ole laialt levinud.";ei tea;kasutatakse vanemas kirjanduses, ajaloolistes tekstides, et kirjeldada väikest kotti.;vanem kirjandus, AJALUGU;registrita, valdkond ajalugu;671 (0,18 per mln);"NONE 355 (ei ole tüüpiline)
culture & entertainment 220 (tüüpiline)
culture & entertainment: books & literature 132 (tüüpiline)
nature & environment 14 (tüüpiline)
education 11 (ei ole tüüpiline)";"periodicals 261 (ei ole tüüpiline)
NONE 236 (tüüpiline)
blogs 85 (ei ole tüüpiline)
forums 29 (ei ole tüüpiline)
fiction 21 (ei ole tüüpiline)";näited kõik murdekeelses tähenduses;murdes;mudel ei saa üldse aru, millega tegemist, aga korpuses on asjalikud näite;palju nimesid, võtsin suure algustähega välja;EKI ühendsõnastik;murdes;murdes;ei;4o ei tea, vanem pakub midagi;jah;;jah;mudel ei saa üldse aru, millega tegemist, aga korpuses on asjalikud näited;jah;mitte;sama;
kvarts;"ÜS: 1. suure kõvadusega kivimite koostismineraal, ka poolvääriskivi; 2. kvartskiiritus
ÕS: (mineraal)";kasutatakse eesti keeles peamiselt järgmistes kontekstides: 1. Geoloogia ja mineraloogia: Kvarts on üks levinumaid mineraale Maal. Seda mainitakse sageli teaduslikes artiklites, õpikutes ja uurimustes, mis käsitlevad kivimeid ja mineraale. 2. Ehted ja kristalliteraapia: Kvarts on populaarne materjal ehete valmistamisel ja kristalliteraapias. Seda kasutatakse sageli kaubanduslikes tekstides, mis kirjeldavad kvartsist valmistatud ehteid või kristallide kasutamist tervendamise eesmärgil. 3. Tööstus ja tehnoloogia: Kvartsil on oluline roll erinevates tööstuslikes rakendustes, näiteks elektroonikas (kvartskristallid kasutatakse kellades ja muudes seadmetes). Seda mainitakse tehnilistes dokumentides ja tööstusalastes artiklites. 4. Ehitus ja sisekujundus: Kvartsist valmistatud materjale kasutatakse laialdaselt ehituses ja sisekujunduses, näiteks kvartsist tööpinnad köökides ja vannitubades. Seda mainitakse ehitus- ja sisekujundusalastes tekstides.;GEOLOOGIA, MINERALOOGIA, EHTED, KRISTALLITERAAPIA, TÖÖSTUS, TEHNOLOOGIA, EHITUS, SISEKUJUNDUS;kasutatakse geoloogia, füüsika, keemia, ehituse ja tehnika valdkonna tekstides.;GEOLOOGIA, FÜÜSIKA, KEEMIA, EHITUS, TEHNIKA;Mõlemad mudelid pakuvad esimesena geoloogiat, valdkonnamärgendina võiks kaaluda.;"10,624
2.81 per mln";"===NONE===	8,417	tüüp	
technology & IT	685	tüüp
women & beauty	347	tüüp	
culture & entertainment	218	mittetüüp	
science	184	tüüp ";"e-commerce	4,437	tüüp
===NONE===	2,472	tüüp
forums	1,703	tüüp
periodicals	887	mittetüüp
blogs	719	mittetüüp";;Registrita. ;Mudelid toovad esile palju erinevaid valdkondi, korpusest tuleb science, mis ei erista täpsemalt nt geoloogiat, füüsikat, keemiat vms.;;EKI ühendsõnastik;"kõnekeelne: ainult 2- tähendus 'kvartskiiritus'; 1. tähendus registrita";ÜSi tähenduses ple, registrita;jah;;jah;;jah;Mudelid toovad esile palju erinevaid valdkondi, korpusest tuleb science, mis ei erista täpsemalt nt geoloogiat, füüsikat, keemiat vms.;jah;mitte;mitte;jah
käitumine;"ÜS: 1. viis või laad, kuidas keegi või miski reageerib, teotseb või töötab; 2. käitumishine
ÕS: tähendust pole";kasutatakse eesti keeles mitmesugustes tekstides, sealhulgas: 1. Teaduslikud ja akadeemilised tekstid: Psühholoogia, sotsioloogia, bioloogia ja haridusteaduste valdkonnas, kus uuritakse inimeste ja loomade käitumist. 2. Õppematerjalid ja õpikud: Koolides ja ülikoolides kasutatavad materjalid, mis käsitlevad käitumise teooriaid ja praktikaid. 3. Igapäevased artiklid ja ajakirjandus: Ajalehed, ajakirjad ja veebiväljaanded, mis käsitlevad ühiskondlikke ja kultuurilisi teemasid, sealhulgas inimeste käitumist. 4. Õigusaktid ja ametlikud dokumendid: Seadused ja määrused, mis reguleerivad käitumisnorme ja -reegleid. 5. Eneseabi ja nõuanderaamatud: Raamatud ja juhendid, mis pakuvad nõuandeid käitumise parandamiseks või muutmiseks. 6. Fiktsioon ja ilukirjandus: Romaanid, novellid ja jutustused, kus tegelaste käitumine on oluline osa loo arengust.;erinevad tekstid, PSÜHHOLOOGIA, SOTSIOLOOGIA, BIOLOOGIA, HARIDUSTEADUSED;kasutatakse psühholoogia, sotsioloogia, pedagoogika, juhtimise ja igapäevakeeles.;PSÜHHOLOOGIA, SOTSIOLOOGIA, PEDAGOOGIKA, JUHTIMINE, argikeel;Mudelite põhjal kasutatakse erinevates tekstides, mõlemad mudelid mainivad psühholoogiat ja sotsioloogiat.;"340,899
90.07 per mln";"===NONE===	184,131	keskm
culture & entertainment	26,926	mittetüüp
education	20,017	tüüp	
politics & government	19,553	mittetüüp
science	12,732	tüüp ";"periodicals	159,200	keskm
===NONE===	84,923	tüüp
blogs	38,242	mittetüüp
forums	29,340	mittetüüp
fiction	7,285	mittetüüp";;Huvitav, et peaaegu kõigis anrites ebatüüpiline kasutus, see näitab ka ühtlast jaotumist, nii et märgendit ei paneks.;Mudelid toovad välja psühholoogia ja sotsioloogia, korpusteemadest on tüüpiline education.;;EKI ühendsõnastik;"kõnekeelne: ainult 2. tähendus 'käitumishinne'; 1. tähendus registrita";ainult registrita, ÜSi tähendust pole;jah;;jah;;jah;Mudelid toovad välja psühholoogia ja sotsioloogia, korpusteemadest on tüüpiline education.;ei;mitte;mitte;jah
küljejooneelund;"ÜS: vees levivaid võnkumisi tajuv meelerakkude kogum veeselgroogseil (nt kaladel) küljejoone all
ÕS: märksõna pole";kasutatakse bioloogilistes ja zooloogilistes tekstides, eriti kalade ja teiste veeloomade anatoomia ja füsioloogia kirjeldustes. Küljejooneelund on spetsiaalne meeleelund, mis võimaldab kaladel ja mõnel teisel veeloomal tajuda vees liikumist ja vibratsioone, aidates neil orienteeruda ja tuvastada saaki või kiskjaid.;BIOLOOGIA, ZOOLOOGIA;kasutatakse bioloogia, meditsiini ja zooloogia tekstides.;BIOLOOGIA, MEDITSIIN, ZOOLOOGIA;Mudelite põhjal võiks kaaluda bioloogia ja zooloogia märgendeid.;"25
0.01 per mln";"===NONE===	13	tüüp	
pets and animals	7	tüüp
science	2	tüüp
education	2	tüüp	
5	
nature & environment	1	tüüp";"periodicals	15	tüüp
forums	4	tüüp
===NONE===	3	mittetüüp
academic	1	tüüp
encyclopedia	1	tüüp";;Registrimärgendit ei paneks.;Mudelite ja korpus pakutavad valdkonnad kattusid.;;EKI ühendsõnastik;registrita;ple;jah;;ei;ainult 25 vastet;jah;Mudelite ja korpusw pakutavad valdkonnad kattusid, aga korpuses oli väga vähe infot. Ei tea, palju SKMis oli tho. SKMi järgi eriala, korpuse järgi registrti ei paneks;jah;mitte;sama;
langeallikas;"ÜS: surveta väljuva veega allikas
ÕS: märksõna pole";eesti keeles sõna, mis viitab allikale, kust vesi langeb või voolab alla. Seda sõna võib kasutada erinevates kontekstides, sealhulgas: 1. Geograafia ja loodusteadus: Kirjeldamaks looduslikke veekogusid ja allikaid, kus vesi voolab alla kõrgemalt kohalt. 2. Kirjandus ja luule: Kujundlikus või metafoorses tähenduses, et luua visuaalseid või emotsionaalseid pilte. 3. Turism ja matkamine: Informatsioonimaterjalides, mis tutvustavad looduskauneid kohti ja matkaradu.;erinevad tekstid, GEOGRAAFIA, LOODUSTEADUSED, ilukirjandus, TURISM, MATKAMINE;võib leida geoloogia või loodusteaduste tekstides.;GEOLOOGIA, LOODUSTEADUS;registrita või erialamärgend;"145
0.04 per mln";"nature & environment	82	tüüp
===NONE===	47	mittetüüp
other:geology	7	tüüp
other	7	tüüp
pets and animals	4	tüüp ";"===NONE===	70	tüüp
periodicals	53	mittetüüp	
encyclopedia	20	tüüp
periodicals:journals	11	tüüp
non-fiction	1	mittetüüp";;nature and enviroment on nii esil, et soovi korral saaks kaaluda loodusteaduste valdkonnamärgendit;Nii mudelid kui korpus pakkusid põhimõtteliselt sama valdkonda.;;EKI ühendsõnastik;registrita;ple;jah;;jah;nature and enviroment on 145 lauses nii esil, et soovi korral saaks kaaluda loodusteaduste valdkonnamärgendit;jah;Nii mudelid kui korpus pakkusid põhimõtteliselt samu valdkondi, 4o-s tulevad erinevad tekstid, mis viitavad registrita, ja kopruses ka none tüüpiline;ei;sama;sama;
lehmakauplemine;"ÜS: (hrl erakondadevahelise tingimise, kokkulepete otsimise kohta)
ÕS: ka 'kauplemine, tingimine millegi ümber'";kasutatakse eesti keeles tavaliselt poliitilises või ärilises kontekstis, et kirjeldada olukorda, kus osapooled teevad omavahel kompromisse ja tehinguid, sageli varjatud või ebaeetilisel viisil, et saavutada oma eesmärke. See võib viidata ka olukordadele, kus toimub intensiivne ja sageli manipuleeriv läbirääkimine. Näiteks võib seda sõna leida poliitilistes artiklites, kus kirjeldatakse koalitsiooniläbirääkimisi või seadusandlikke kompromisse. Samuti võib seda kasutada ärimaailmas, kui räägitakse keerulistest ja sageli varjatud tehingutest.;POLIITIKA, ÄRINDUS;võib leida ajaloolistes tekstides või põllumajandusega seotud artiklites.;AJALUGU, PÕLLUMAJANDUS;Mudelid kirjeldavad erinevaid tähendusi ja kasutusi, GPT-4o ülekantud tähendust, GPT 4 otsest;"1,269
0.34 per mln";"===NONE===	784	tüüp
politics & government	278	tüüp	

culture & entertainment	76	mittetüüp

economy, finance & business	32	keskm

sports	20	mittetüüp ";"periodicals	923	tüüp

blogs	121	mittetüüp

===NONE===	120	tüüp

forums	72	mittetüüp       fiction	10 mittetüüp";Korpusest paistab poliitikatähendus, otsest ette ei satu.;Kuna ajakirjandus põhiline anr, siis registrimärgendit ei paneks.;Nii GPT-4o kui korpus toovad esile poliitikat.;;EKI ühendsõnastik;kõnekeelne;ka-ga tähendus on ülek;jah;Mudelid kirjeldavad erinevaid tähendusi ja kasutusi, GPT-4o ülekantud tähendust, GPT 4 otsest;jah;Korpusest paistab poliitikatähendus, otsest ette ei satu.;jah;Nii GPT-4o kui korpus toovad esile poliitikat. Lisaks erialamärgendid, mistõttu ei oskaks pidada kõnekeelseks;jah;mitte;mitte;jah
liputaja;"ÜS: mees, kes oma suguelundit avalikus kohas näitab
ÕS: märksõna pole";kasutatakse eesti keeles tavaliselt tekstides, mis käsitlevad seksuaalset ahistamist või avalikus kohas sündsusetu käitumise teemasid. Liputaja on inimene, kes paljastab end avalikus kohas teistele inimestele, tavaliselt sooviga šokeerida või tekitada ebamugavust. Selliseid tekste võib leida uudistes, kriminaalreportaaides, psühholoogia- või sotsioloogiaalastes artiklites ning ka ilukirjanduses, kus käsitletakse selliseid tegelasi või olukordi.;ajakirjandus, PSÜHHOLOOGIA, SOTSIOLOOGIA, ilukirjandus;võib leida spordiga seotud tekstides, näiteks jalgpalli mängude kirjeldustes.;SPORT;Mudelite pakutud valdkonnad omavahel ei kattu. GPT-4o esitab infot sama tähenduse kohta, mis sõnaraamat. GPT-4 kirjeldab sporditähendust.;"2,008
0.53 per mln";"===NONE===	1,429	tüüp	
culture & entertainment	255	tüüp	
women & beauty	63	tüüp	
sports	63	mittetüüp	
technology & IT	46	mittetüüp";"periodicals	1,131	tüüp
blogs	339	tüüp
forums	276	keskm
===NONE===	173	mittetüüp
fiction	47	mittetüüp";Korpusest paistab põhiliselt seksuaalne tähendus, aga esineb ka spordiliputajat.;Korpuse põhjal registrimärgendit ei lisaks.;Kumbki mudel esitas ühe tähenduse, korpusest leidis mõlemat.;;EKI ühendsõnastik;kõnekeelne;ple;jah;Mudelite pakutud valdkonnad omavahel ei kattu. GPT-4o esitab infot sama tähenduse kohta, mis sõnaraamat. GPT-4 kirjeldab sporditähendust.;jah;;jah;Kumbki mudel esitas ühe tähenduse, korpusest leidis mõlemat.;ei;mitte;mitte;jah
luksusnumber;"ÜS: (luksusliku hotellitoa, kajuti vms kohta)
ÕS: märksõna pole";"kasutatakse tavaliselt tekstides, mis käsitlevad majutusteenuseid, näiteks hotellide või kruiisilaevade kirjeldusi. See viitab eriti luksuslikule ja hästi varustatud toale või sviidile, mis pakub kõrgemat mugavust ja teenuseid võrreldes tavaliste tubadega. Samuti võib seda sõna kohata kinnisvarakuulutustes, kus kirjeldatakse luksuslikke kortereid või maju. Kui sul on konkreetne kontekst või tekst, milles sõna ""luksusnumber"" esineb, saan pakkuda täpsemat vastust.";MAJUTUSTEENUSED;võib leida hotellinduse või turismiga seotud tekstides.;HOTELLINDUS, TURISM;Mudelid pakuvad sarnast valdkonda.;"133
0.04 per mln";"===NONE===	85	tüüp
culture & entertainment	19	tüüp	
travel & tourism	11	tüüp
sex	4	tüüp   education 2 mittetüüp";"periodicals	76	tüüp
===NONE===	18	mittetüüp
fiction	17	tüüp
blogs	17	mittetüüp
non-fiction 2 mittetüüp";;Korpuse põhjal märgendit ei lisaks.;Nii mudelid kui korpus tõid välja hotellinduse, turismi (travel and tourism).;;EKI ühendsõnastik;registrita;ple;jah;;jah;;ei;Nii mudelid kui korpus tõid välja hotellinduse, turismi (travel and tourism).;jah;mitte;sama;
lõpukorral;"ÜS: lõppemas, lõpul, otsa saamas
ÕS: tähendust pole";kasutatakse eesti keeles tavaliselt tekstides, mis kirjeldavad mingisuguse protsessi, sündmuse või tegevuse lõppfaasi või lõppjärku. Seda võib leida erinevates kontekstides, näiteks: 1. Uudised ja ajakirjandus: Artiklid, mis kajastavad sündmuste või projektide lõppfaasi. 2. Akadeemilised tekstid: Uurimistööd või projektid, mis on jõudmas lõpule. 3. Ilukirjandus: Romaanid, novellid või jutustused, kus tegevus või süee on jõudmas lõpule. 4. Äridokumendid: Projektide aruanded või plaanid, mis on lõppjärgus. 5. Igapäevane suhtlus: Vestlused või kirjad, kus räägitakse tegevuste või plaanide lõpuleviimisest.;erinevad tekstid;paljudes tekstides, alates ilukirjandusest kuni teadustekstideni;erinevad tekstid;registrita;1115 (0,29 per mln);"647 NONE (kesk)
96 cult&ent (ei ole)
82 tech&it (tüüp, eriti cars)
54 sports (ei ole)
47 pol&gov (ei ole)";"495 periodicals (ei ole)
212 blogs (tüüp)
145 NONE (ei ole)
129 forums (ei ole)
83 fiction (tüüp)";ei jää midagi väga silma;registrita;SKM toob rohkem erinevaid tekste välja, aga korpus annab rohkem infot tüüpilisusega, samas kummagi järgi ei saa midagi välja tuua – mis ütlebki, et reg-ta sõna;"samas saab ""lõpukorral"" väga kõnekeelsena kasutada, aga see ei tule kuskilt välja. nojah, kõiki sõnu saab ju?";EKI ühendsõnastik;registrita;registrita;jah;;jah;;jah;"SKM toob rohkem erinevaid tekste välja, aga korpus annab rohkem infot tüüpilisusega, samas kummagi järgi ei saa midagi välja tuua – mis ütlebki, et reg-ta sõna + samas saab ""lõpukorral"" väga kõnekeelsena kasutada, aga see ei tule kuskilt välja. nojah, kõiki sõnu saab ju?";ei;sama;sama;
läkk;"ÜS:  läga, pori 
ÕS: läga, pori";"kasutatakse eesti keeles peamiselt kõnekeeles ja slängis. See võib tähendada üleskutset või ettepanekut minna kuhugi või midagi tegema, näiteks ""Läkk kinno!"" (Lähme kinno!). See on lühendatud ja mitteametlik vorm sõnast ""lähme"". Täpsemat teavet selle sõna kasutamise kohta konkreetses tekstis mul ei ole.";kõnekeel, släng;kasutatakse sageli kõnekeeles või ilukirjanduses, et kirjeldada midagi, mis on räpane või määrdunud.;kõnekeel, ilukirjandus;kõnekeelne;25 (0,01 per mln);"NONE 16 (keskmine)
culture & entertainment 3 (keskmine)
education 2 (tüüpiline)
education: languages & linguistics 2 (tüüpiline)
culture & entertainment: books & literature 1 (tüüpiline)";"periodicals 6 (ei ole tüüpiline)
blogs 5 (tüüpiline)
fiction 4 (tüüpiline)
NONE 4 (ei ole tüüpiline)
forums 4 (keskmine)";mõned üksikud näited murdetähenduses;registrita või kõnekeelne;GPT4 aimab enam-vähem õiges suunas, aga üldiselt ei ole murdetähendus ka korpuses laias kasutuse;palju nimesid, eemaldasin suure algustähega sõnad;EKI ühendsõnastik;murdes;murdes;jah;;ei;ainult 25 vastet;jah;murre ei tule kummastki välja, mõlemad pakuvad kõnekeelset. GPT4 aimab enam-vähem õiges suunas, aga üldiselt ei ole murdetähendus ka korpuses laias kasutuses. korpuses mõned üksikud näited murdetähenduses. palju nimesid.;jah;mitte;mitte;vastupidi
maarott;"ÜS: (hrl meremeeste keelepruugis meresõidukogemuseta inimese, kuivamaamehe kohta)
ÕS: kuivamaamees";"kasutatakse eesti keeles tavaliselt kontekstis, kus viidatakse inimesele, kes elab maal või on maal elamisega harjunud, vastandina linnainimesele ehk ""linnarotile"". Seda sõna võib leida erinevates tekstides, näiteks ilukirjanduses, ajakirjanduses, vestlustes ja muudes kirjutistes, kus käsitletakse maaelu ja linnaelu erinevusi või vastandatakse neid kahte elustiili.";MAAELU;kasutatakse mõnes murdes või vanemas eesti kirjanduses, tähendab maadligi roomavat looma.;murdekeel, vanem kirjandus;kõnekeelne;637 (0,17 per mln);"431 NONE (tüüp)
80 cult&ent (tüüp)
21 travel&tourism (tüüp)
20 sports (ei ole)
17 tech&it (ei ole)";"236 periodicals (ei ole)
126 blogs (tüüp)
120 forums (tüüp)
80 NONE (ei ole)
54 fiction (vgäa tüüp, eriti novel)";mereteemalised laused;kõnekeelne, halvustav;SKM luuletab tähenduse kohta, aga seda tean, sest olen tähendused sõnarmtust üles otsinud. korpus annab paremat infot;word sense inductionist tuleb meresõit välja ja no sense;EKI ühendsõnastik;kõnekeelne;halv;jah;;jah;;jah;mõlemad ütlevad kõnekeelne, aga korpusest tuleb ka halvustav. SKM luuletab tähenduse kohta, aga seda tean, sest olen tähendused sõnarmtust üles otsinud. korpus annab paremat infot + word sense inductionist tuleb meresõit välja ja no sense. siin on huvitav see, et ÜS ütleb kõnek, ÕS aga halv, korpuse järgi mõlemat;jah;sama;mitte;
murdevõistlus;"ÜS: Sõnaveeb ütleb, et sõna pole. EKILEXis ilma tähenduseta
ÕS: märksõna pole";kasutatakse tekstides, mis käsitlevad murrete uurimist, säilitamist ja populariseerimist. Seda võib leida näiteks: 1. Keeleteaduslikes artiklites ja uurimustes, mis käsitlevad eesti keele murrete mitmekesisust ja nende kasutamist. 2. Kultuuri- ja haridusürituste kirjeldustes, kus korraldatakse murdevõistlusi, et edendada murrete kasutamist ja teadlikkust nende tähtsusest. 3. Koolide ja ülikoolide programmides, kus korraldatakse murdevõistlusi õpilastele ja tudengitele. 4. Meediaväljaannetes, mis kajastavad murdevõistlusi ja nende tulemusi.;MURDED, KEELETEADUS;kasutatakse kultuuri- ja haridusvaldkonnas, tähendab võistlust, kus hinnatakse oskust kasutada murreid.;KULTUUR, HARIDUS;registrita, vb kultuurinäited;210 (0,06 per mln);"155 NONE (tüüp)
36 cult&ent (tüüp)
9 science (tüüp)
5 other:languages&linguistics (üliiiitüüp)
4 education (ei ole)";"174 periodicals (tüüp)
18 NONE (ei ole)
7 blogs (ei ole)
5 academic (ülitüüp)
3 encycl (kesk)";mõnedes murdekeelsetes tekstides esineb, palju Muhu võistlusega seotud infot, laused registrita;registrita, võibolla keeleteadus ja akadeemilisemad tekstid;mõlemad toovad välja keeleteadust, aga tegelikult on korpuses vähe andmeid samadest allikatest, et teha järeldusi;;EKI ühendsõnastik;registrita;ple;jah;;jah;;jah;mõlemad toovad välja keeleteadust, aga tegelikult on korpuses vähe andmeid samadest allikatest, et teha järeldusi. korpuse põhjal keeleteadus ja akaeemilisemad tekstid?;jah;sama;sama;
mustköömen;"ÜS: peamiselt Vahemere maade rohttaim, mille mõningaid liike kasvatatakse Eestis suvelillena
ÕS: märksõna pole";kasutatakse peamiselt järgmistes kontekstides: 1. Kulinaaria: Mustköömen (Nigella sativa) on vürts, mida kasutatakse erinevates köökides, eriti Lähis-Ida, India ja Põhja-Aafrika köögis. Seda kasutatakse sageli leibade, küpsetiste ja erinevate roogade maitsestamiseks. 2. Taimetee ja tervisetooted: Mustköömne seemneid ja õli kasutatakse sageli tervisetoodetes ja taimeteedes, kuna neil arvatakse olevat mitmeid tervisele kasulikke omadusi. 3. Rahvameditsiin: Mustköömne seemneid ja õli kasutatakse traditsioonilises meditsiinis erinevate vaevuste leevendamiseks, sealhulgas seedimisprobleemide, põletike ja immuunsüsteemi tugevdamiseks. 4. Aiandus ja botaanika: Mustköömen võib esineda ka tekstides, mis käsitlevad aiandust ja botaanikat, kuna tegemist on taimega, mida kasvatatakse seemnete saamiseks.;KULINAARIA, TERVISETOOTED, RAHVAMEDITSIIN, AIANDUS, BOTAANIKA;kasutatakse toiduvalmistamisel ja taimede nimetamisel.;KOKANDUS, TAIMED;kokandus, registrita;296 (0,08 per mln);"117 NONE (ei ole)
1402 religion (ülitüüp)
32 women&beauty (väga tüüp)
21 nature/envir (väga tüüp, eriti gardening)
12 home, family & children (väga tüüp)";"120 NONE (tüüp)
84 e-comm (ülitüüp)
44 blogs (kesk)
43 periodicals (ei ole, aga journals tüüp)
3 non-fiction (tüüp)";tavalised laused;registrita;SKM annab sarnasemaid tekstitüüpe näidetega, korpuses rohkem erinevaid teemasid ja tekstitüüpe, aga kummaline on kopruse religion;SKM pakkus õige ladina vaste. ei ole ainult kokandus, vaid ka rahvameditsiin (ehk MED ei paneks);EKI ühendsõnastik;registrita;"artiklis ""köömen"" liitsõnade all ilam registrita";jah;;jah;;jah;SKM annab sarnasemaid tekstitüüpe näidetega, korpuses rohkem erinevaid teemasid ja tekstitüüpe, aga kummaline on kopruse religion + SKM pakkus õige ladina vaste. ei ole ainult kokandus, vaid ka rahvameditsiin (ehk MED ei paneks);jah;mitte;sama;
